Tempo,Corpos,Cores,Movimento,Nucleos
0.210903, 300 ,4, 100,Quatro
0.208197, 300 ,4, 100,Quatro
0.207935, 300 ,4, 100,Quatro
0.215354, 300 ,4, 100,Quatro
0.207023, 300 ,4, 100,Quatro
0.199126, 300 ,4, 100,Quatro
0.20431, 300 ,4, 100,Quatro
0.210776, 300 ,4, 100,Quatro
0.212249, 300 ,4, 100,Quatro
0.208957, 300 ,4, 100,Quatro
0.214441, 300 ,4, 100,Quatro
0.206257, 300 ,4, 100,Quatro
0.211069, 300 ,4, 100,Quatro
0.213414, 300 ,4, 100,Quatro
0.213039, 300 ,4, 100,Quatro
0.214838, 300 ,4, 100,Quatro
0.192772, 300 ,4, 100,Quatro
0.180387, 300 ,4, 100,Quatro
0.212372, 300 ,4, 100,Quatro
0.264848, 400 ,4, 100,Quatro
0.276086, 400 ,4, 100,Quatro
0.284593, 400 ,4, 100,Quatro
0.279371, 400 ,4, 100,Quatro
0.277977, 400 ,4, 100,Quatro
0.281326, 400 ,4, 100,Quatro
0.239969, 400 ,4, 100,Quatro
0.276935, 400 ,4, 100,Quatro
0.283412, 400 ,4, 100,Quatro
0.254786, 400 ,4, 100,Quatro
0.267542, 400 ,4, 100,Quatro
0.284139, 400 ,4, 100,Quatro
0.273244, 400 ,4, 100,Quatro
0.261311, 400 ,4, 100,Quatro
0.277579, 400 ,4, 100,Quatro
0.269502, 400 ,4, 100,Quatro
0.275734, 400 ,4, 100,Quatro
0.278942, 400 ,4, 100,Quatro
0.268397, 400 ,4, 100,Quatro
0.278006, 400 ,4, 100,Quatro
0.265995, 400 ,4, 100,Quatro
0.27287, 400 ,4, 100,Quatro
0.272045, 400 ,4, 100,Quatro
0.264438, 400 ,4, 100,Quatro
0.276153, 400 ,4, 100,Quatro
0.270439, 400 ,4, 100,Quatro
0.282338, 400 ,4, 100,Quatro
0.258041, 400 ,4, 100,Quatro
0.274815, 400 ,4, 100,Quatro
0.266929, 400 ,4, 100,Quatro
0.278184, 400 ,4, 100,Quatro
0.272644, 400 ,4, 100,Quatro
0.271903, 400 ,4, 100,Quatro
0.275033, 400 ,4, 100,Quatro
0.269404, 400 ,4, 100,Quatro
0.26986, 400 ,4, 100,Quatro
0.261664, 400 ,4, 100,Quatro
0.267943, 400 ,4, 100,Quatro
0.266772, 400 ,4, 100,Quatro
0.285193, 400 ,4, 100,Quatro
0.261514, 400 ,4, 100,Quatro
0.26466, 400 ,4, 100,Quatro
0.283351, 400 ,4, 100,Quatro
0.27958, 400 ,4, 100,Quatro
0.26798, 400 ,4, 100,Quatro
0.255319, 400 ,4, 100,Quatro
0.270393, 400 ,4, 100,Quatro
0.275644, 400 ,4, 100,Quatro
0.281842, 400 ,4, 100,Quatro
0.263319, 400 ,4, 100,Quatro
0.322135, 500 ,4, 100,Quatro
0.336574, 500 ,4, 100,Quatro
0.340186, 500 ,4, 100,Quatro
0.335988, 500 ,4, 100,Quatro
